Country,Job Title,Gender,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),26_39,1,0.752
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),40_65,1,0.752
Austria,Automatic Data Processing Planner,40_65,2,1.504
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),26_39,1,0.752
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),40_65,1,0.752
Austria,Clinical Data Specialist,26_39,1,0.752
Austria,Computer or Data Processing Systems Consultant,26_39,1,0.752
Austria,Computer or Data Processing Systems Consultant,40_65,2,1.504
Austria,Crime Data Specialist,40_65,1,0.752
Austria,Data Administrator,26_39,1,0.752
Austria,Data Base Design Analyst,26_39,1,0.752
Austria,Data Base Design Analyst,40_65,1,0.752
Austria,Data Coder Operator,40_65,1,0.752
Austria,Data Communications Software Consultant,14_25,1,0.752
Austria,Data Communications Software Consultant,40_65,1,0.752
Austria,Data Coordinator,40_65,2,1.504
Austria,Data Entry Representative,26_39,1,0.752
Austria,Data Entry Specialist,26_39,1,0.752
Austria,Data Keyer,40_65,1,0.752
Austria,Data Management Associate,40_65,1,0.752
Austria,Data Management Information Technology Specialist,26_39,1,0.752
Austria,Data Officer,14_25,1,0.752
Austria,Data Officer,40_65,1,0.752
Austria,Data Processing Auditor,14_25,3,2.256
Austria,Data Processing Systems Project Planner,40_65,1,0.752
Austria,Data Security Analyst,14_25,1,0.752
Austria,Data Security Analyst,40_65,1,0.752
Austria,Data Systems Manager,26_39,1,0.752
Austria,Data Warehouse Developer,40_65,1,0.752
Austria,Data Warehousing Engineer,14_25,2,1.504
Austria,Data Warehousing Engineer,26_39,1,0.752
Austria,Data Warehousing Engineer,40_65,2,1.504
Austria,Data Warehousing Manager,26_39,1,0.752
Austria,Database Administration Associate,26_39,1,0.752
Austria,Database Administration Manager,26_39,1,0.752
Austria,Database Architect,40_65,1,0.752
Austria,Database Coordinator,40_65,1,0.752
Austria,Database Design Analyst,26_39,1,0.752
Austria,Database Developer,40_65,1,0.752
