Country,Job Title,Gender,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,2,1.504
Austria,Automatic Data Processing Planner,Female,1,0.752
Austria,Automatic Data Processing Planner,Male,1,0.752
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,1.504
Austria,Clinical Data Specialist,Male,1,0.752
Austria,Computer or Data Processing Systems Consultant,Female,1,0.752
Austria,Computer or Data Processing Systems Consultant,Male,2,1.504
Austria,Crime Data Specialist,Male,1,0.752
Austria,Data Administrator,Female,1,0.752
Austria,Data Base Design Analyst,Female,1,0.752
Austria,Data Base Design Analyst,Male,1,0.752
Austria,Data Coder Operator,Male,1,0.752
Austria,Data Communications Software Consultant,Female,1,0.752
Austria,Data Communications Software Consultant,Male,1,0.752
Austria,Data Coordinator,Male,2,1.504
Austria,Data Entry Representative,Female,1,0.752
Austria,Data Entry Specialist,Female,1,0.752
Austria,Data Keyer,Male,1,0.752
Austria,Data Management Associate,Male,1,0.752
Austria,Data Management Information Technology Specialist,Female,1,0.752
Austria,Data Officer,Male,2,1.504
Austria,Data Processing Auditor,Female,2,1.504
Austria,Data Processing Auditor,Male,1,0.752
Austria,Data Processing Systems Project Planner,Male,1,0.752
Austria,Data Security Analyst,Male,2,1.504
Austria,Data Systems Manager,Female,1,0.752
Austria,Data Warehouse Developer,Male,1,0.752
Austria,Data Warehousing Engineer,Female,2,1.504
Austria,Data Warehousing Engineer,Male,3,2.256
Austria,Data Warehousing Manager,Female,1,0.752
Austria,Database Administration Associate,Male,1,0.752
Austria,Database Administration Manager,Male,1,0.752
Austria,Database Architect,Male,1,0.752
Austria,Database Coordinator,Male,1,0.752
Austria,Database Design Analyst,Male,1,0.752
Austria,Database Developer,Female,1,0.752
Austria,Database Development and Administration Project Manager,Female,1,0.752
Austria,Database Engineer,Female,1,0.752
Austria,Database Engineer,Male,1,0.752
Austria,Database Manager,Female,1,0.752
Austria,Database Marketing Analyst,Male,1,0.752
Austria,Database Modeler,Female,1,0.752
Austria,Database Security Administrator,Female,1,0.752
Austria,Database Security Administrator,Male,2,1.504
Austria,Database Security Expert,Male,1,0.752
Austria,Database Software Technician,Male,2,1.504
Austria,Databases Computer Consultant,Male,1,0.752
Austria,Director of Data Operations,Male,1,0.752
Austria,Electronic Data Processing Auditor (EDP Auditor),Male,1,0.752
Austria,Field Artillery Automated Tactical Data System Specialist,Female,1,0.752
Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),Male,1,0.752
Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,1,0.752
Austria,Geographic Information Systems Data Manager (GIS Data Manager),Male,1,0.752
Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,1,0.752
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,2,1.504
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,2,1.504
Austria,Internet Database Specialist,Male,1,0.752
Austria,Maintenance Data Analyst,Female,1,0.752
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Female,1,0.752
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Male,1,0.752
Austria,Unemployed,Female,29,21.805
Austria,Unemployed,Male,30,22.556
Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,1,0.559
Belgium,Automatic Data Processing Planner,Male,2,1.117
Belgium,Automatic Data Processing Planner (ADP Planner),Male,1,0.559
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,1.117
Belgium,Clinical Data Associate,Female,2,1.117
Belgium,Clinical Data Associate,Male,1,0.559
Belgium,Clinical Data Coordinator,Male,1,0.559
Belgium,Crime Data Specialist,Female,1,0.559
Belgium,Data Administrator,Female,1,0.559
Belgium,Data Administrator,Male,2,1.117
Belgium,Data Architect,Female,1,0.559
Belgium,Data Architect,Male,2,1.117
Belgium,Data Base Design Analyst,Male,1,0.559
Belgium,Data Capture Specialist,Male,1,0.559
Belgium,Data Collector,Female,1,0.559
Belgium,Data Communications Analyst,Male,1,0.559
Belgium,Data Coordinator,Male,1,0.559
Belgium,Data Entry Associate,Female,1,0.559
Belgium,Data Entry Representative,Male,1,0.559
Belgium,Data Entry Specialist,Male,1,0.559
Belgium,Data Management Associate,Female,1,0.559
Belgium,Data Management Information Technology Specialist,Female,1,0.559
Belgium,Data Management Information Technology Specialist,Male,1,0.559
Belgium,Data Manager,Male,1,0.559
Belgium,Data Miner,Female,1,0.559
Belgium,Data Officer,Female,2,1.117
Belgium,Data Officer,Male,2,1.117
Belgium,Data Processing Consultant,Female,1,0.559
Belgium,Data Processing Manager,Female,1,0.559
Belgium,Data Processing Systems Analyst,Female,1,0.559
Belgium,Data Processing Systems Analyst,Male,1,0.559
Belgium,Data Processing Systems Project Planner,Male,2,1.117
Belgium,Data Recovery Planner,Male,1,0.559
Belgium,Data Scientist,Female,2,1.117
Belgium,Data Scientist,Male,2,1.117
Belgium,Data Security Administrator,Female,2,1.117
Belgium,Data Security Administrator,Male,1,0.559
Belgium,Data Security Analyst,Male,2,1.117
Belgium,Data Storage Specialist,Male,1,0.559
Belgium,Data Systems Manager,Female,1,0.559
Belgium,Data Warehouse Analyst,Female,1,0.559
Belgium,Data Warehouse Developer,Male,1,0.559
Belgium,Data Warehouse Specialist,Female,2,1.117
Belgium,Data Warehousing Manager,Female,2,1.117
Belgium,Database Administration Associate,Male,2,1.117
Belgium,Database Architect,Male,1,0.559
Belgium,Database Consultant,Female,1,0.559
Belgium,Database Consultant,Male,1,0.559
Belgium,Database Coordinator,Male,1,0.559
Belgium,Database Design Analyst,Male,1,0.559
Belgium,Database Designer,Male,2,1.117
Belgium,Database Development and Administration Project Manager,Male,1,0.559
Belgium,Database Engineer,Female,1,0.559
Belgium,Database Engineer,Male,2,1.117
Belgium,Database Management System Specialist (DBMS Specialist),Female,1,0.559
Belgium,Database Management System Specialist (DBMS Specialist),Male,1,0.559
Belgium,Database Manager,Female,2,1.117
Belgium,Database Manager,Male,1,0.559
Belgium,Database Marketing Analyst,Female,2,1.117
Belgium,Database Security Administrator,Male,1,0.559
Belgium,Database Software Technician,Female,1,0.559
Belgium,Database Tester,Female,1,0.559
Belgium,Database Tester,Male,1,0.559
Belgium,Director of Data Operations,Female,1,0.559
Belgium,Director of Data Operations,Male,2,1.117
Belgium,Electronic Data Processing Auditor (EDP Auditor),Male,1,0.559
Belgium,Field Artillery Automated Tactical Data System Specialist,Male,1,0.559
Belgium,Flight Data Technician,Female,1,0.559
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),Female,1,0.559
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),Male,2,1.117
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,2,1.117
Belgium,Head of Information Systems and Data Processing,Male,1,0.559
Belgium,Health Data Analyst,Male,3,1.676
Belgium,Log Data Technician,Male,1,0.559
Belgium,Marketing Database Analyst,Male,1,0.559
Belgium,Medical Data Analyst,Male,1,0.559
Belgium,Oracle Database Administrator (Oracle DBA),Female,1,0.559
Belgium,Reference Data Expert,Male,1,0.559
Belgium,SQL Database Administrator,Male,1,0.559
Belgium,Unemployed,Female,45,25.14
Belgium,Unemployed,Male,31,17.318
Bulgaria,Automatic Data Processing Planner,Female,1,0.709
Bulgaria,Automatic Data Processing Planner (ADP Planner),Male,1,0.709
Bulgaria,Business Database Analyst,Male,1,0.709
Bulgaria,Clinical Data Management Associate Director,Male,1,0.709
Bulgaria,Clinical Data Manager,Male,1,0.709
Bulgaria,Computer or Data Processing Systems Consultant,Male,1,0.709
Bulgaria,Data Abstractor,Female,1,0.709
Bulgaria,Data Administrator,Female,1,0.709
Bulgaria,Data Administrator,Male,1,0.709
Bulgaria,Data Architect,Female,2,1.418
Bulgaria,Data Base Design Analyst,Male,1,0.709
Bulgaria,Data Center Manager,Male,1,0.709
Bulgaria,Data Center Operator,Male,1,0.709
Bulgaria,Data Communications Analyst,Female,1,0.709
Bulgaria,Data Compiler,Female,1,0.709
Bulgaria,Data Control Assistant,Male,1,0.709
Bulgaria,Data Coordinator,Female,1,0.709
Bulgaria,Data Management Associate,Male,1,0.709
Bulgaria,Data Management Information Technology Specialist,Male,1,0.709
Bulgaria,Data Miner,Female,2,1.418
Bulgaria,Data Modeling Specialist,Female,1,0.709
Bulgaria,Data Officer,Female,1,0.709
Bulgaria,Data Operations Director,Female,1,0.709
Bulgaria,Data Processing Auditor,Female,1,0.709
Bulgaria,Data Processing Auditor,Male,1,0.709
Bulgaria,Data Processing Manager,Female,1,0.709
Bulgaria,Data Processing Manager,Male,2,1.418
Bulgaria,Data Processing Systems Analyst,Female,1,0.709
Bulgaria,Data Processing Systems Analyst,Male,1,0.709
Bulgaria,Data Recovery Planner,Female,1,0.709
Bulgaria,Data Reduction Technician,Male,1,0.709
Bulgaria,Data Security Administrator,Female,1,0.709
Bulgaria,Data Security Analyst,Female,1,0.709
Bulgaria,Data Storage Specialist,Female,1,0.709
Bulgaria,Data Systems Manager,Female,1,0.709
Bulgaria,Data Warehouse Architect,Female,1,0.709
Bulgaria,Data Warehouse Architect,Male,2,1.418
Bulgaria,Data Warehouse Developer,Female,1,0.709
Bulgaria,Data Warehouse Developer,Male,1,0.709
Bulgaria,Data Warehouse Specialist,Male,5,3.546
Bulgaria,Data Warehousing Engineer,Female,1,0.709
Bulgaria,Data Warehousing Specialist,Female,1,0.709
Bulgaria,Data Warehousing Specialist,Male,1,0.709
Bulgaria,Database Administration Associate,Female,1,0.709
Bulgaria,Database Administration Associate,Male,1,0.709
Bulgaria,Database Administration Manager,Female,1,0.709
Bulgaria,Database Analyst,Female,1,0.709
Bulgaria,Database Architect,Male,1,0.709
Bulgaria,Database Consultant,Female,1,0.709
Bulgaria,Database Coordinator,Male,1,0.709
Bulgaria,Database Design Analyst,Male,1,0.709
Bulgaria,Database Designer,Female,2,1.418
Bulgaria,Database Development Project Manager,Female,1,0.709
Bulgaria,Database Modeler,Male,2,1.418
Bulgaria,Database Security Administrator,Male,1,0.709
Bulgaria,Database Security Expert,Male,1,0.709
Bulgaria,Database Software Technician,Female,1,0.709
Bulgaria,Database Software Technician,Male,1,0.709
Bulgaria,Database Tester,Female,2,1.418
Bulgaria,Director of Data Operations,Male,1,0.709
Bulgaria,Electronic Data Processing Auditor (EDP Auditor),Male,1,0.709
Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Female,3,2.128
Bulgaria,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,1,0.709
Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),Male,1,0.709
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),Female,3,2.128
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,1,0.709
Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,1,0.709
Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,1,0.709
Bulgaria,Head of Information Systems and Data Processing,Female,1,0.709
Bulgaria,Head of Information Systems and Data Processing,Male,2,1.418
Bulgaria,Internet Database Specialist,Male,4,2.837
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Female,1,0.709
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Male,1,0.709
Bulgaria,SCADA Technician (Supervisory Control and Data Acquisition Technician),Male,1,0.709
Bulgaria,SQL Database Administrator,Male,2,1.418
Bulgaria,Survey Data Technician,Male,1,0.709
Bulgaria,Unemployed,Female,26,18.44
Bulgaria,Unemployed,Male,19,13.475
Croatia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,1,1.149
Croatia,Clinical Data Abstractor,Male,1,1.149
Croatia,Clinical Data Management Associate Director,Male,1,1.149
Croatia,Computer or Data Processing Systems Consultant,Female,1,1.149
Croatia,Computer or Data Processing Systems Consultant,Male,1,1.149
Croatia,Data Administrator,Male,1,1.149
Croatia,Data Analysis Assistant,Male,1,1.149
Croatia,Data Coordinator,Male,1,1.149
Croatia,Data Entry Associate,Female,1,1.149
Croatia,Data Management Associate,Male,1,1.149
Croatia,Data Management Information Technology Specialist,Male,1,1.149
Croatia,Data Modeling Specialist,Male,1,1.149
Croatia,Data Officer,Female,1,1.149
Croatia,Data Operations Director,Male,1,1.149
Croatia,Data Processing Manager,Female,1,1.149
Croatia,Data Processing Systems Project Planner,Male,1,1.149
Croatia,Data Security Administrator,Male,2,2.299
Croatia,Data Storage Specialist,Female,1,1.149
Croatia,Data Storage Specialist,Male,1,1.149
Croatia,Data Systems Manager,Female,1,1.149
Croatia,Data Systems Manager,Male,1,1.149
Croatia,Data Warehouse Developer,Male,1,1.149
Croatia,Data Warehouse Specialist,Female,1,1.149
Croatia,Database Coordinator,Female,1,1.149
Croatia,Database Design Analyst,Female,1,1.149
Croatia,Database Design Analyst,Male,1,1.149
Croatia,Database Designer,Male,1,1.149
Croatia,Database Engineer,Male,1,1.149
