Country,Job Title,Gender,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Country,1,0.752
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,1,0.752
Austria,Automatic Data Processing Planner,Country,1,0.752
Austria,Automatic Data Processing Planner,Urban,1,0.752
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Countryside,1,0.752
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,1,0.752
Austria,Clinical Data Specialist,Country,1,0.752
Austria,Computer or Data Processing Systems Consultant,City,2,1.504
Austria,Computer or Data Processing Systems Consultant,Rural,1,0.752
Austria,Crime Data Specialist,Urban,1,0.752
Austria,Data Administrator,Countryside,1,0.752
Austria,Data Base Design Analyst,Non-rural,1,0.752
Austria,Data Base Design Analyst,Rural,1,0.752
Austria,Data Coder Operator,Rural,1,0.752
Austria,Data Communications Software Consultant,Rural,1,0.752
Austria,Data Communications Software Consultant,Urban,1,0.752
Austria,Data Coordinator,Country,1,0.752
Austria,Data Coordinator,Rural,1,0.752
Austria,Data Entry Representative,Urban,1,0.752
Austria,Data Entry Specialist,Countryside,1,0.752
Austria,Data Keyer,Urban,1,0.752
Austria,Data Management Associate,Urban,1,0.752
Austria,Data Management Information Technology Specialist,Non-rural,1,0.752
Austria,Data Officer,City,2,1.504
Austria,Data Processing Auditor,Country,1,0.752
Austria,Data Processing Auditor,Countryside,1,0.752
Austria,Data Processing Auditor,Rural,1,0.752
Austria,Data Processing Systems Project Planner,Urban,1,0.752
Austria,Data Security Analyst,City,1,0.752
Austria,Data Security Analyst,Rural,1,0.752
Austria,Data Systems Manager,Non-rural,1,0.752
Austria,Data Warehouse Developer,Country,1,0.752
Austria,Data Warehousing Engineer,Country,1,0.752
Austria,Data Warehousing Engineer,Urban,4,3.008
Austria,Data Warehousing Manager,Urban,1,0.752
Austria,Database Administration Associate,Urban,1,0.752
Austria,Database Administration Manager,Non-rural,1,0.752
Austria,Database Architect,Urban,1,0.752
Austria,Database Coordinator,Urban,1,0.752
Austria,Database Design Analyst,Rural,1,0.752
Austria,Database Developer,City,1,0.752
Austria,Database Development and Administration Project Manager,Rural,1,0.752
Austria,Database Engineer,Country,1,0.752
Austria,Database Engineer,Rural,1,0.752
Austria,Database Manager,Urban,1,0.752
Austria,Database Marketing Analyst,Rural,1,0.752
